"wind_kph","Continent","month_name"
9,"Asia","September"
3.6,"Europe","September"
9,"Europe","September"
3.6,"Asia","September"
3.6,"Europe","September"
6.8,"Europe","September"
6.8,"Africa","September"
11.2,"America","September"
9,"America","September"
27.4,"America","September"
25.9,"Pacific","September"
4,"Europe","September"
6.8,"Europe","September"
6.8,"Asia","September"
6.8,"Africa","September"
6.1,"Europe","September"
19.1,"Indian","September"
19.1,"Africa","September"
11.2,"Asia","September"
4,"Europe","September"
4,"Europe","September"
15.1,"Pacific","September"
26.3,"Africa","September"
19.1,"Africa","September"
13,"Asia","September"
8.6,"Africa","September"
6.1,"Europe","September"
11.2,"Asia","September"
20.5,"Africa","September"
4,"America","September"
9,"Europe","September"
3.6,"Europe","September"
29.9,"Asia","September"
3.6,"Asia","September"
18,"Africa","September"
13,"Asia","September"
7.6,"Asia","September"
5.8,"Europe","September"
19.1,"Pacific","September"
6.8,"America","September"
15.1,"Africa","September"
3.6,"Europe","September"
6.8,"Asia","September"
29.9,"Pacific","September"
3.6,"Africa","September"
3.6,"Europe","September"
6.8,"Asia","September"
6.8,"Europe","September"
16.9,"America","September"
29.9,"America","September"
11.2,"Asia","September"
15.1,"Pacific","September"
4,"America","September"
3.6,"Asia","September"
7.9,"Asia","September"
9.4,"Africa","September"
16.6,"Africa","September"
3.6,"Asia","September"
4,"Europe","September"
13,"Africa","September"
7.6,"Europe","September"
6.8,"Africa","September"
6.8,"America","September"
15.1,"America","September"
11.2,"Asia","September"
9,"Australia","September"
13,"Europe","September"
11.2,"Asia","September"
22,"America","September"
6.8,"Asia","September"
7.6,"Asia","September"
19.1,"America","September"
4,"Europe","September"
6.1,"Europe","September"
9,"America","September"
19.1,"Africa","September"
6.5,"Asia","September"
14,"America","September"
3.6,"Europe","September"
11.2,"Africa","September"
6.1,"America","September"
6.8,"Asia","September"
3.6,"Europe","September"
6.8,"Africa","September"
3.6,"Africa","September"
11.5,"Indian","September"
13,"Atlantic","September"
6.1,"Asia","September"
4,"Africa","September"
20.2,"America","September"
6.1,"Africa","September"
9,"Africa","September"
16.9,"America","September"
3.6,"Asia","September"
7.2,"Europe","September"
5.8,"Indian","September"
6.8,"Africa","September"
9,"America","September"
3.6,"Europe","September"
25.9,"America","September"
11.2,"Asia","September"
9,"Europe","September"
6.8,"Africa","September"
19.1,"Europe","September"
6.8,"Africa","September"
3.6,"America","September"
6.8,"America","September"
6.5,"America","September"
6.8,"Africa","September"
16.9,"America","September"
9,"Africa","September"
5.4,"Africa","September"
6.1,"Europe","September"
6.8,"Africa","September"
6.8,"Africa","September"
13,"Pacific","September"
3.6,"Europe","September"
9,"Europe","September"
13,"Africa","September"
3.6,"Africa","September"
