air_quality_PM2_5,air_quality_us_epa_index,month_name
12.8,1,September
10,1,September
2.8,1,September
2.9,1,September
6.6,1,September
20.4,2,September
213.3,5,September
1.6,1,September
3.8,1,September
57.4,3,September
0.5,1,September
2.5,1,September
4.8,1,September
144.9,4,September
0.5,1,September
1,1,September
12.5,1,September
1.5,1,September
6.2,1,September
3.1,1,September
5.7,1,September
15.4,1,September
35,2,September
16.5,2,September
75.2,4,September
4.6,1,September
1.6,1,September
2.5,1,September
9.5,1,September
10.6,1,September
17.6,2,September
15.9,2,September
4.9,1,September
38.2,2,September
78.5,4,September
2.2,1,September
4.3,1,September
2.8,1,September
2,1,September
9.7,1,September
9.1,1,September
4,1,September
10,1,September
2,1,September
37.5,2,September
9.5,1,September
13.7,1,September
38.6,2,September
2,1,September
1.8,1,September
1.7,1,September
3.2,1,September
7.4,1,September
5.5,1,September
20.8,2,September
1.7,1,September
19.9,2,September
5.2,1,September
3.7,1,September
16,2,September
6.4,1,September
15.4,1,September
0.6,1,September
7.2,1,September
23.3,2,September
92.9,4,September
1.7,1,September
3.4,1,September
1.4,1,September
31.7,2,September
2.5,1,September
0.9,1,September
15.1,1,September
14.1,1,September
8.6,1,September
2.6,1,September
15.9,2,September
18.2,2,September
8.6,1,September
2.6,1,September
0.7,1,September
6.4,1,September
11.7,1,September
20.4,2,September
38.3,2,September
5.9,1,September
43.8,3,September
8.1,1,September
18.3,2,September
22.9,2,September
8.2,1,September
9,1,September
6,1,September
148.5,4,September
38.1,2,September
11.7,1,September
41,3,September
12.2,1,September
14.8,1,September
12.3,1,September
0.6,1,September
8.3,1,September
6.2,1,September
5.5,1,September
2.8,1,September
1.1,1,September
19,2,September
7,1,September
5.7,1,September
34.6,2,September
45.8,3,September
5.9,1,September
5.8,1,September
21.2,2,September
1,1,September
4.6,1,September
9.2,1,September
2.2,1,September
9.8,1,September
6.7,1,September
6.2,1,September
0.6,1,September
10.2,1,September
53.2,3,September
42.1,3,September
0.8,1,September
2.1,1,September
3.2,1,September
7.8,1,September
8.9,1,September
16.7,2,September
27,2,September
98,4,September
206.8,5,September
11.1,1,September
2.2,1,September
6.4,1,September
7.3,1,September
31.2,2,September
7.1,1,September
15.7,2,September
20.3,2,September
6.4,1,September
1.8,1,September
24.3,2,September
5.1,1,September
9.8,1,September
42.4,3,September
12,1,September
12.8,1,September
2.6,1,September
26.5,2,September
5,1,September
18,2,September
74.1,4,September
3,1,September
5,1,September
7.3,1,September
7.7,1,September
3.9,1,September
2.4,1,September
9.4,1,September
12.1,1,September
19.9,2,September
2.1,1,September
6.9,1,September
1.4,1,September
1.9,1,September
3.2,1,September
39.8,2,September
14.8,1,September
1,1,September
13.9,1,September
4.8,1,September
13.4,1,September
320.6,6,September
37.1,2,September
25.1,2,September
3.4,1,September
12.4,1,September
