country,last_updated,uv_index,Continent,month_name,year_name
Samoa,30/08/2023 16:00,6,Pacific,August,2023
San Marino,30/08/2023 05:00,1,Europe,August,2023
Belgium,30/08/2023 04:45,1,Europe,August,2023
Saudi Arabia,30/08/2023 05:45,1,Asia,August,2023
Senegal,30/08/2023 03:00,1,Africa,August,2023
Serbia,30/08/2023 05:00,1,Europe,August,2023
Seychelles Islands,30/08/2023 07:00,6,Indian,August,2023
Sierra Leone,30/08/2023 03:00,1,Africa,August,2023
Singapore,30/08/2023 10:45,6,Asia,August,2023
Slovakia,30/08/2023 05:00,1,Europe,August,2023
Slovenia,30/08/2023 05:00,1,Europe,August,2023
Solomon Islands,30/08/2023 14:00,6,Pacific,August,2023
Somalia,30/08/2023 06:00,5,Africa,August,2023
South Africa,30/08/2023 04:45,1,Africa,August,2023
South Korea,30/08/2023 12:00,6,Asia,August,2023
Sudan,30/08/2023 05:00,1,Africa,August,2023
Spain,30/08/2023 05:00,1,Europe,August,2023
Sri Lanka,30/08/2023 08:30,6,Asia,August,2023
Sudan,30/08/2023 05:00,1,Africa,August,2023
Suriname,30/08/2023 00:00,1,America,August,2023
Sweden,30/08/2023 05:00,1,Europe,August,2023
Switzerland,30/08/2023 04:45,1,Europe,August,2023
Syria,30/08/2023 06:00,1,Asia,August,2023
Tajikistan,30/08/2023 07:45,6,Asia,August,2023
Tanzania,30/08/2023 06:00,1,Africa,August,2023
Thailand,30/08/2023 10:00,8,Asia,August,2023
Indonesia,30/08/2023 10:00,8,Asia,August,2023
Bulgaria,30/08/2023 06:00,1,Europe,August,2023
Tonga,30/08/2023 16:00,5,Pacific,August,2023
Trinidad and Tobago,29/08/2023 23:00,1,America,August,2023
Tunisia,30/08/2023 04:00,1,Africa,August,2023
Turkey,30/08/2023 06:00,1,Europe,August,2023
Turkmenistan,30/08/2023 08:00,7,Asia,August,2023
Tuvalu,30/08/2023 15:00,6,Pacific,August,2023
Uganda,30/08/2023 06:00,1,Africa,August,2023
Ukraine,30/08/2023 05:45,1,Europe,August,2023
United Arab Emirates,30/08/2023 07:00,8,Asia,August,2023
United Kingdom,30/08/2023 04:00,1,Europe,August,2023
United States of America,29/08/2023 20:00,1,America,August,2023
Uruguay,30/08/2023 00:00,1,America,August,2023
Uzbekistan,30/08/2023 08:00,7,Asia,August,2023
Vanuatu,30/08/2023 14:00,5,Pacific,August,2023
Venezuela,29/08/2023 23:00,1,America,August,2023
Vietnam,30/08/2023 10:00,8,Asia,August,2023
Yemen,30/08/2023 06:00,5,Asia,August,2023
Zambia,30/08/2023 05:00,1,Africa,August,2023
Zimbabwe,30/08/2023 05:00,1,Africa,August,2023
Afghanistan,31/08/2023 04:15,1,Asia,August,2023
Albania,31/08/2023 01:45,1,Europe,August,2023
Algeria,31/08/2023 00:45,1,Africa,August,2023
Andorra,31/08/2023 01:45,1,Europe,August,2023
Angola,31/08/2023 00:45,1,Africa,August,2023
Antigua and Barbuda,30/08/2023 19:45,1,America,August,2023
Argentina,30/08/2023 20:45,1,America,August,2023
Armenia,31/08/2023 03:45,1,Asia,August,2023
Australia,31/08/2023 09:45,3,Australia,August,2023
Austria,31/08/2023 01:45,1,Europe,August,2023
Azerbaijan,31/08/2023 03:45,1,Asia,August,2023
Bahamas,30/08/2023 19:45,8,America,August,2023
Bahrain,31/08/2023 02:45,1,Asia,August,2023
Bangladesh,31/08/2023 05:45,1,Asia,August,2023
Barbados,30/08/2023 19:45,1,America,August,2023
Belarus,31/08/2023 02:45,1,Europe,August,2023
Belgium,31/08/2023 01:45,1,Europe,August,2023
Belize,30/08/2023 17:45,6,America,August,2023
Benin,31/08/2023 00:45,1,Africa,August,2023
Bhutan,31/08/2023 05:45,1,Asia,August,2023
Bolivia,30/08/2023 19:45,1,America,August,2023
Bosnia and Herzegovina,31/08/2023 01:45,1,Europe,August,2023
Botswana,31/08/2023 01:45,1,Africa,August,2023
Brazil,30/08/2023 19:45,1,America,August,2023
Brunei Darussalam,31/08/2023 07:45,7,Asia,August,2023
